symbol,yahoo_ticker,company_name,gics_sector,sector
PGR,PGR,Progressive Corporation,Financials,مالي غير مصرفي
PLD,PLD,Prologis,Real Estate,عقاري
PRU,PRU,Prudential Financial,Financials,مالي غير مصرفي
PEG,PEG,Public Service Enterprise Group,Utilities,تصنيع
PTC,PTC,PTC Inc.,Information Technology,تكنولوجيا
PSA,PSA,Public Storage,Real Estate,عقاري
PHM,PHM,PulteGroup,Consumer Discretionary,استهلاكي
PWR,PWR,Quanta Services,Industrials,تصنيع
QCOM,QCOM,Qualcomm,Information Technology,تكنولوجيا
DGX,DGX,Quest Diagnostics,Health Care,استهلاكي
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,استهلاكي
RJF,RJF,Raymond James Financial,Financials,بنوك
RTX,RTX,RTX Corporation,Industrials,تصنيع
O,O,Realty Income,Real Estate,عقاري
REG,REG,Regency Centers,Real Estate,عقاري
REGN,REGN,Regeneron Pharmaceuticals,Health Care,استهلاكي
RF,RF,Regions Financial Corporation,Financials,بنوك
RSG,RSG,Republic Services,Industrials,تصنيع
RMD,RMD,ResMed,Health Care,استهلاكي
RVTY,RVTY,Revvity,Health Care,استهلاكي
HOOD,HOOD,Robinhood Markets,Financials,بنوك
ROK,ROK,Rockwell Automation,Industrials,تصنيع
ROL,ROL,"Rollins, Inc.",Industrials,تصنيع
ROP,ROP,Roper Technologies,Information Technology,تكنولوجيا
ROST,ROST,Ross Stores,Consumer Discretionary,استهلاكي
RCL,RCL,Royal Caribbean Group,Consumer Discretionary,استهلاكي
SPGI,SPGI,S&P Global,Financials,مالي غير مصرفي
CRM,CRM,Salesforce,Information Technology,تكنولوجيا
SNDK,SNDK,Sandisk,Information Technology,تكنولوجيا
SBAC,SBAC,SBA Communications,Real Estate,عقاري
SLB,SLB,Schlumberger,Energy,تصنيع
STX,STX,Seagate Technology,Information Technology,تكنولوجيا
SRE,SRE,Sempra,Utilities,تصنيع
NOW,NOW,ServiceNow,Information Technology,تكنولوجيا
SHW,SHW,Sherwin-Williams,Materials,تصنيع
SPG,SPG,Simon Property Group,Real Estate,عقاري
SWKS,SWKS,Skyworks Solutions,Information Technology,تكنولوجيا
SJM,SJM,J.M. Smucker Company (The),Consumer Staples,استهلاكي
SW,SW,Smurfit Westrock,Materials,تصنيع
SNA,SNA,Snap-on,Industrials,تصنيع
SOLV,SOLV,Solventum,Health Care,استهلاكي
SO,SO,Southern Company,Utilities,تصنيع
LUV,LUV,Southwest Airlines,Industrials,تصنيع
SWK,SWK,Stanley Black & Decker,Industrials,تصنيع
SBUX,SBUX,Starbucks,Consumer Discretionary,استهلاكي
STT,STT,State Street Corporation,Financials,بنوك
STLD,STLD,Steel Dynamics,Materials,تصنيع
