symbol,yahoo_ticker,company_name,sector
JULPHAR,JULPHAR.AE,Gulf Pharmaceutical Industries P.S.C.,استهلاكي
PALMS,PALMS.AE,Palms Sports PJSC,استهلاكي
EIC,EIC.AE,Emirates Insurance Company P.J.S.C.,مالي غير مصرفي
SUDATEL,SUDATEL.AE,Sudatel Telecom Group Limited,تكنولوجيا
MANAZEL,MANAZEL.AE,Manazel PJSC,عقاري
EASYLEASE,EASYLEASE.AE,Easy Lease Motor Cycle Rental P.S.C.,مالي غير مصرفي
DHAFRA,DHAFRA.AE,Al Dhafra Insurance Company P.S.C.,مالي غير مصرفي
SCIDC,SCIDC.AE,Sharjah Cement and Industrial Development Co.,تصنيع
AWNIC,AWNIC.AE,Al Wathba National Insurance Company PJSC,مالي غير مصرفي
ABNIC,ABNIC.AE,Al Buhaira National Insurance Company P.S.C.,مالي غير مصرفي
QIC,QIC.AE,Umm Al Qaiwain General Investments Company P.S.C.,مالي غير مصرفي
FH,FH.AE,Finance House P.J.S.C.,مالي غير مصرفي
KICO,KICO.AE,Al Khaleej Investment P.J.S.C.,مالي غير مصرفي
TKFL,TKFL.AE,Abu Dhabi National Takaful Company PSC,مالي غير مصرفي
ALAIN,ALAIN.AE,Al Ain Ahlia Insurance Company P.S.C.,مالي غير مصرفي
RAKWCT,RAKWCT.AE,Ras Al Khaimah Co. for White Cement & Construction Materials,تصنيع
RPM,RPM.AE,Response Plus Holding PJSC,استهلاكي
FBI,FBI.AE,Fujairah Building Industries P.J.S.C.,تصنيع
GCEM,GCEM.AE,Gulf Cement Company P.S.C.,تصنيع
FNF,FNF.AE,Foodco National Foodstuff PJSC,استهلاكي
RAKNIC,RAKNIC.AE,Ras Al Khaimah National Insurance Company P.S.C.,مالي غير مصرفي
SAWAEED,SAWAEED.AE,Sawaeed Holding P.J.S.C.,مالي غير مصرفي
UNION,UNION.AE,Union Insurance Company P.J.S.C.,مالي غير مصرفي
HAYAH,HAYAH.AE,HAYAH Insurance Company P.J.S.C.,مالي غير مصرفي
FIDELITYUNITED,FIDELITYUNITED.AE,United Fidelity Insurance Company (P.S.C.),مالي غير مصرفي
AFNIC,AFNIC.AE,Al Fujairah National Insurance Company P.J.S.C,مالي غير مصرفي
HH,HH.AE,Hily Holding PJSC,مالي غير مصرفي
SICO,SICO.AE,Sharjah Insurance Company P.S.C.,مالي غير مصرفي
RAPCO,RAPCO.AE,RAPCO Investment PJSC,مالي غير مصرفي
OEIHC,OEIHC.AE,Oman & Emirates Investment Holding Company,مالي غير مصرفي
IH,IH.AE,Insurance House - P J S C,مالي غير مصرفي
ARAM,ARAM.AE,ARAM Group Company P.J.S.C.,تصنيع
FCI,FCI.AE,Fujairah Cement Industries PJSC,تصنيع
TNI,TNI.AE,The National Investor Pr. J.S.C.,مالي غير مصرفي
METHAQ,METHAQ.AE,Methaq Takaful Insurance P.S.C.,مالي غير مصرفي
AKIC,AKIC.AE,Al Khazna Insurance Company P.S.C.,مالي غير مصرفي
